variable,log_scale,n_samples,mean,std,eps
aerot,True,672514773,-7.643497516893953,26.10449464978543,1e-08
d2m,False,674419914,281.0563059619263,125.7169451363006,1e-08
fg10m,False,674419914,6.698155704221985,16.0068030521856,1e-08
q2m,False,674419914,0.008472532563172782,2.711270324307655e-05,1e-08
refc,False,674419914,-7.804500065518528,55.76798680289126,1e-08
rsds,False,674419914,175.5414503286598,77535.00563278061,1e-08
sde,False,674419914,0.02601917329758193,0.02958643855115767,1e-08
snowc,False,674419914,9.370064280160031,845.9373872560946,1e-08
sp,False,674419914,96241.08362109841,50840059.46274376,1e-08
t2m,False,674419914,287.5910925014589,122.7795657460229,1e-08
tcc,False,674419914,0.4063465298546182,0.1853275494614959,1e-08
tp,True,672514773,-16.57472796363389,22.47198278297822,1e-08
u10m,False,674419914,0.3118870635051785,12.48283599653787,1e-08
u80m,False,674419914,0.5856708734341287,21.49640225988642,1e-08
v10m,False,674419914,-0.3881632260277905,16.9767082755221,1e-08
v80m,False,674419914,-0.2220102683821032,28.76349400930932,1e-08
